time,open,high,low,close,ADX
2017-09-27T13:30:00Z,46.387,47.495,46.387,47.2245,13.855581700994932
2017-09-28T13:30:00Z,47.068,47.5345,47.0275,47.475,13.479764060309082
2017-09-29T13:30:00Z,47.6,47.98932,47.5755,47.9555,13.79713452992107
2017-10-02T13:30:00Z,47.999,48.127,47.392,47.6635,13.734183864872069
2017-10-03T13:30:00Z,47.7,47.9,47.457,47.8895,13.675729675897994
2017-10-04T13:30:00Z,47.85,48.0195,47.5345,47.584,13.81473377075981
2017-10-05T13:30:00Z,47.7745,48.5455,47.759,48.498,14.717580129649033
2017-10-06T13:30:00Z,48.335,48.973,48.168,48.9445,16.086606951280764
2017-10-09T13:30:00Z,49,49.27125,48.8055,48.85,17.690991387000103
2017-10-10T13:30:00Z,49,49.0785,48.304005,48.63,18.05981986315339
2017-10-11T13:30:00Z,48.686,49.5355,48.6125,49.4625,18.953563180142694
2017-10-12T13:30:00Z,49.3725,49.706,49.25,49.3915,19.97509513581209
2017-10-13T13:30:00Z,49.6,49.8605,49.45,49.484,21.09690383564872
2017-10-16T13:30:00Z,49.605,49.695325,49.2,49.6,21.56143700255865
2017-10-17T13:30:00Z,49.5145,49.822,49.4295,49.609,22.155550947060025
2017-10-18T13:30:00Z,49.5885,49.836,49.348735,49.6405,22.510988579316198
2017-10-19T13:30:00Z,49.3,49.444,48.9195,49.2225,21.860361387491317
2017-10-20T13:30:00Z,49.472,49.55,49.229,49.41,21.428901350706315
2017-10-23T13:30:00Z,49.476,49.476,48.306,48.4225,20.484761363362022
2017-10-24T13:30:00Z,48.5,48.6115,48.05,48.527,19.99067148605538
2017-10-25T13:30:00Z,48.4185,48.8045,48.026005,48.6665,19.164913614223718
2017-10-26T13:30:00Z,49,49.38,48.61,48.628,18.17622653350935
2017-10-27T13:30:00Z,50.4595,52.4195,50.41,50.9635,20.092314839974065
2017-10-30T13:30:00Z,50.7,51.2485,50.375,50.8555,21.817990594294816
2017-10-31T13:30:00Z,50.761,51.2,50.521,50.832,23.420403794735513
2017-11-01T13:30:00Z,50.8605,51.4835,50.8475,51.275,25.092804414845038
