time,open,high,low,close,EMA,Smoothing Line,ADX,+DI,-DI
2016-11-15T14:30:00Z,37.3485,38.22081,37.3485,37.9245,38.8135039192875,38.969366317291346,20.65941415980236,18.197437820504355,31.81381889031283
2016-11-16T14:30:00Z,37.76,38.318,37.5255,38.224,38.7807537015493,38.901973744108496,20.974521894030655,17.80776005813486,29.72454819332368
2016-11-17T14:30:00Z,38.346,38.635,38.2115,38.5615,38.768572940352115,38.8431418694358,20.765293316216855,19.88516789108103,28.64206283924776
2016-11-18T14:30:00Z,38.5685,38.75,38,38.027,38.72737444366589,38.79120065446714,20.798113494329975,18.59375142445308,28.613353640863533
2016-11-21T14:30:00Z,38.1305,38.485,38.03,38.46,38.71252030790667,38.760545062552296,20.828589374006448,17.83214677657505,27.441343613043106
2016-11-22T14:30:00Z,38.6315,38.848,38.35,38.4135,38.695908068578525,38.7370258924105,20.236159005604865,20.352123756106195,26.18539949240569
2016-11-23T14:30:00Z,38.3865,38.414125,37.7625,38.0495,38.65999650921305,38.71287445394325,20.379952241447658,19.11906259418311,30.061340456340726
2016-11-25T14:30:00Z,38.213,38.25,38.026,38.084,38.62799670314566,38.68475920650196,20.513474531873108,18.69964824464647,29.401885658722573
2016-11-28T14:30:00Z,38,38.9765,37.99,38.412,38.61599688630424,38.66248369502962,19.43763987834341,23.877496189112474,26.631119538581054
2016-11-29T14:30:00Z,38.5765,38.925,38.412,38.542,38.61188594817622,38.64235682308354,18.438650557208696,22.680527488990965,25.296112874381024
2016-11-30T14:30:00Z,38.5035,38.6495,37.7415,37.902,38.57244783994421,38.61766477735667,18.376911837315753,20.702343482397765,29.530400945472426
2016-12-01T14:30:00Z,37.872,37.9925,36.851225,37.396,38.507089626613975,38.58708340083685,19.231753133472683,18.51630861388737,34.64922495276993
2016-12-02T14:30:00Z,37.2295,37.7,37.155,37.525,38.45252909180209,38.551989878568136,20.02553433704697,17.562596747446992,32.864561622216314
2016-12-05T14:30:00Z,37.8855,38.195,37.645,38.126,38.43438858670198,38.51566821864769,19.91694597942638,21.157805840430743,30.76656506303542
2016-12-06T14:30:00Z,38.2365,38.4415,37.867,37.9555,38.40778366521853,38.47484776205615,19.4229387106475,22.368522337196346,29.053867077401552
2016-12-07T14:30:00Z,38.05,38.568,37.79,38.5595,38.416212350484166,38.44360066416414,18.762204136666625,21.909812824826094,26.872242896701877
2016-12-08T14:30:00Z,38.624,38.909,38.3615,38.821,38.438700553235044,38.42992284948836,17.61562414067248,24.08362801977165,25.42536336939882
2016-12-09T14:30:00Z,39,39.4715,38.95105,39.4645,38.49568941138865,38.43855491340567,16.951753398609906,28.104731708970856,23.786626696363683
2016-12-12T14:30:00Z,39.252,39.5625,39.21777,39.4635,38.54945666631151,38.46156852932757,16.4555876933515,28.044159951614482,22.942703247725753
2016-12-13T14:30:00Z,39.695,40.218995,39.667,39.805,38.619209073738645,38.503853611031595,16.797652183327845,32.59136330735086,21.170029327803356
2016-12-14T14:30:00Z,39.87,40.2,39.7005,39.8535,38.68778079186428,38.55816729930761,17.11528349544874,30.89187894317722,20.066113130975086
2016-12-15T14:30:00Z,39.867,40.15,39.646,39.8925,38.75470963676071,38.62136911601275,17.30733258239284,29.235336852651855,19.569951784682058
2016-12-16T14:30:00Z,40.02,40.04279,39.5145,39.54,38.79833687916289,38.6818986095676,17.22938701024358,27.566672332324753,19.87369715139472
2016-12-19T14:30:00Z,39.511,39.883,39.3135,39.71,38.848984830320504,38.74180424236939,16.76701222381054,25.85355458641088,20.83199185168029
2016-12-20T14:30:00Z,39.838,39.9325,39.6635,39.821,38.90298567308047,38.798559562237756,16.416113500406727,25.625201605638058,20.193639156608022
2016-12-21T14:30:00Z,39.792,39.833785,39.355,39.728,38.94881980235378,38.85076736433566,15.480698544272492,24.20358485001504,22.64797072261685
2016-12-22T14:30:00Z,39.618,39.666,39.429,39.563,38.98294092444524,38.89641362187257,14.612098942147842,23.333019219674863,21.83335813401725
2016-12-23T14:30:00Z,39.545,39.637,39.364,39.4955,39.011416428642725,38.93902953176853,13.670469112091373,22.535989357743286,21.900861745130552
2016-12-27T14:30:00Z,39.534,39.893,39.38285,39.5775,39.04286551594035,38.97780566889251,13.303291394553796,24.31415571809518,20.492183468829484
2016-12-28T14:30:00Z,39.685,39.7115,39.16,39.2525,39.05451187616588,39.00811090950958,12.471939698421885,22.620282333713522,21.87964002231994
